lag_days,correlation,p_value,n
1,0.0081,0.7493015766037077,1555
2,-0.0018,0.9437608374103221,1554
3,0.0105,0.6802975969835939,1553
4,0.0202,0.4263461146110169,1552
5,0.002,0.937490316324592,1551
6,-0.0089,0.7268525983636372,1550
7,-0.0308,0.22516739330432908,1549
8,-0.036,0.15672025926498337,1548
9,-0.0417,0.10083833906840574,1547
10,-0.0263,0.3010486717428528,1546
11,-0.0079,0.756158903893731,1545
12,0.0097,0.703450815847407,1544
13,0.0288,0.2587658122828946,1543
14,0.0374,0.1419097068368657,1542
15,0.0439,0.0848118564337652,1541
16,0.0444,0.0812061172080687,1540
17,0.0496,0.051621103234781064,1539
18,0.0539,0.034676712328238386,1538
19,0.0578,0.023519084570445818,1537
20,0.0609,0.016934486692075267,1536
21,0.0661,0.009590332101124144,1535
22,0.072,0.0047627557552060475,1534
23,0.0733,0.004102636191169766,1533
24,0.0754,0.0031407203983277714,1532
25,0.0786,0.002080607069161771,1531
26,0.0807,0.0015902737939826974,1530
27,0.078,0.0022689385088856032,1529
28,0.0774,0.002454998783428248,1528
29,0.079,0.0020101486496689933,1527
30,0.0794,0.0018996179807918609,1526
